ISBN,Título,Autor,Editora,Ano,Páginas,Disciplina,Capa,Qtd_Exemplares,Avaliação,Empréstimos
9781837538614,Advances in Mergers and Acquisitions,"Sydney Finkelstein, Cary L. Cooper",Emerald Publishing Limited,2023,0,Administração e Gestão,,9,4.2,12
9783791011882,Abhandlung über die Buchhaltung 1494,"Pacioli, Luca",Schäffer-Poeschel Verlag,"March 1, 1997",162,Administração e Gestão,https://covers.openlibrary.org/b/id/7322993-L.jpg,4,4.2,37
9780135983492,"Organizational Behavior, Student Value Edition + 2019 MyLab Management with Pearson eText -- Access Card Package",Stephen P. Robbins,Pearson,"Jul 20, 2019",0,Administração e Gestão,https://covers.openlibrary.org/b/id/10899954-L.jpg,2,4.6,88
9783868205947,Die Kunst des Krieges,"孙武, Sun Tzu ",Nikol,2023,142,Administração e Gestão,https://covers.openlibrary.org/b/id/14837275-L.jpg,9,4.0,18
9788544100691,A Menina do vale 2,Bel Pesce,LeYa,2014,96,Administração e Gestão,https://covers.openlibrary.org/b/id/7361006-L.jpg,6,4.2,31
9780619148218,Course ILT,Course Technology,Course Technology,"February 28, 2003",0,Administração e Gestão,https://covers.openlibrary.org/b/id/1325713-L.jpg,3,4.6,23
9780443314421,Advances in Agronomy,Donald L. Sparks,Elsevier Science & Technology,2025,0,Agronomia e Ciência do Solo,,3,4.4,97
9781118358597,Plant Breeding Reviews Vol. 9,Jules Janick,"Wiley & Sons, Incorporated, John",2012,548,Agronomia e Ciência do Solo,,6,4.8,45
9780367398040,Soil and Environmental Analysis,Keith A. Smith,Taylor & Francis Group,2019,0,Agronomia e Ciência do Solo,,4,3.6,88
9780585418933,Soil and Environmental Analysis,Keith A. Smith,CRC Press LLC,2001,0,Agronomia e Ciência do Solo,,1,3.8,20
9781498715577,Agroecology,Stephen R. Gliessman,CRC Press LLC,2006,0,Agronomia e Ciência do Solo,,7,5.0,32
9781292020792,Nature and Properties of Soils,"Nyle C. Brady, Ray R. Weil","Pearson Education, Limited",2013,1056,Agronomia e Ciência do Solo,,9,3.6,86
9780128207710,Advances in Agronomy,Donald L. Sparks,Elsevier Science & Technology,2020,0,Agronomia e Ciência do Solo,,3,4.5,10
9781351300100,Vegetation and Soils,S. R. Eyre,Taylor & Francis Group,2017,0,Agronomia e Ciência do Solo,,3,4.2,39
9781780279282,Croft in the Hills,Katharine Stewart,"Birlinn, Limited",2025,0,Agronomia e Ciência do Solo,,5,4.5,86
9780471997986,Pyramid odyssey,William R. Fix,J. Wiley,1978,291,Agronomia e Ciência do Solo,https://covers.openlibrary.org/b/id/307742-L.jpg,2,4.7,51
9781280475511,Self-Sufficient Agriculture,Robert Tripp,Routledge,2012,0,Agronomia e Ciência do Solo,,5,4.5,57
9781461386148,Advances in Soil Science,B. A. Stewart,"Springer, Springer New York","Nov 11, 2011",235,Agronomia e Ciência do Solo,https://covers.openlibrary.org/b/id/10097075-L.jpg,1,4.3,98
9780136792420,Soils,"Michael J. Singer, Donald N. Munns",Prentice Hall,1999,527,Agronomia e Ciência do Solo,https://covers.openlibrary.org/b/id/91538-L.jpg,8,4.2,23
9781499408102,Soil,"Richard Spilsbury, Louise Spilsbury",Rosen Publishing Group,2015,0,Agronomia e Ciência do Solo,,1,4.8,27
9780136141235,Soil properties,"Cheng Liu, Jack B. Evett, Jack Evett",Merrill/Prentice Hall,2008,0,Agronomia e Ciência do Solo,,1,4.7,4
9780429095986,Handbook of Soil Sciences,"P. M. Huang, Yuncong Li, M. E. Sumner",Taylor & Francis Group,2011,1442,Agronomia e Ciência do Solo,,4,4.2,98
9780138219185,Soils,Roy Luther Donahue,Prentice-Hall,1977,626,Agronomia e Ciência do Solo,https://covers.openlibrary.org/b/id/6563669-L.jpg,4,4.2,99
9781032302324,Agroecology,Stephen R. Gliessman,CRC Press LLC,2022,0,Agronomia e Ciência do Solo,,2,4.5,37
9780080563497,Advances in Agronomy,N. C. Brady,Elsevier Science & Technology Books,1983,0,Agronomia e Ciência do Solo,,9,4.7,62
9781351300117,Vegetation and Soils,S. R. Eyre,Taylor & Francis Group,2017,0,Agronomia e Ciência do Solo,,3,4.0,79
9783827370112,Computernetzwerke,"Andrew S. Tanenbaum, John David Wetherall, David J. Wetherall, Nickolas Feamster, David Wetherall, James F. Kurose, Keith W. Ross",Pearson Studium,"December 6, 2000",875,Algoritmos e Programação,https://covers.openlibrary.org/b/id/3277133-L.jpg,2,4.3,16
9788565837194,JavaScript,David Flanagan,"O'Reilly, Bookman",2013,1080,Algoritmos e Programação,https://covers.openlibrary.org/b/id/14562317-L.jpg,1,4.4,42
9783642392771,Structured Object-Oriented Formal Language and Method,"Shaoying Liu, Zhenhua Duan","Springer London, Limited",2013,0,Algoritmos e Programação,,7,4.5,95
9780367496142,Swarm Intelligence Algorithms,Adam Slowik,Taylor & Francis Group,2022,0,Algoritmos e Programação,,6,4.6,12
9780262046305,"Introduction to Algorithms, Fourth Edition","Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein",MIT Press,2022,1332,Algoritmos e Programação,https://covers.openlibrary.org/b/id/13768952-L.jpg,5,3.6,52
9783642041037,Computer Algebra in Scientific Computing,Vladimir P. Gerdt,"Springer London, Limited",2009,0,Algoritmos e Programação,,5,3.9,5
9781482251166,"Graphs, Algorithms, and Optimization",William Kocay,Taylor & Francis Group,2016,0,Algoritmos e Programação,,5,3.6,40
9783031105388,Computer Information Systems and Industrial Management,Khalid Saeed,Springer International Publishing AG,2022,0,Algoritmos e Programação,,3,4.7,24
9780553418835,Weapons of math destruction : how big data increases inequality and threatens democracy,Cathy O'Neil,Crown,2016,275,Algoritmos e Programação,https://covers.openlibrary.org/b/id/14632952-L.jpg,2,4.7,94
9780613836272,"Lenguaje Unificado de Modelado, El","Grady Booch, James Rumbaugh",Tandem Library,September 1999,0,Análise e Projeto de Sistemas,,3,3.6,36
9780137947805,Systems Analysis and Design,"Kenneth E. Kendall, Julie E. Kendall",Unknown Publisher,2023,0,Análise e Projeto de Sistemas,,8,3.6,94
9781990132094,"Engineering Systems Dynamics Modelling, Simulation, and Design",Mehrzad Tabatabaian,British Columbia/Yukon Open Authoring Platform,2021,0,Análise e Projeto de Sistemas,https://covers.openlibrary.org/b/id/12751603-L.jpg,6,5.0,18
9780471204435,WCS An Introduction to Object Oriented Analysis,David Brown,"Wiley & Sons, Incorporated, John",2001,0,Análise e Projeto de Sistemas,,4,3.7,76
9780073376189,Object-oriented and classical software engineering,Stephen R. Schach,McGraw-Hill,2011,667,Análise e Projeto de Sistemas,https://covers.openlibrary.org/b/id/8701378-L.jpg,8,3.8,12
9780429159305,Practical UML Statecharts in C/C++,Miro Samek,Taylor & Francis Group,2008,728,Análise e Projeto de Sistemas,,9,4.8,40
9780321718952,Unified Modeling Language Reference Manual,James Rumbaugh,"Pearson Education, Limited",2004,752,Análise e Projeto de Sistemas,,8,4.8,52
9780511054679,Uml Xtra-Light,"Milan Kratochvíl, Milan Kratochvil, Barry McGibbon",Cambridge University Press,2002,0,Análise e Projeto de Sistemas,,7,3.6,14
9780131969452,Applying UML and Patterns,Craig Larman,N/A,"Feb 03, 2005",0,Análise e Projeto de Sistemas,,6,3.9,42
9780511001550,Advanced Object-Oriented Analysis and Design Using UML,James J. Odell,Cambridge University Press,1998,0,Análise e Projeto de Sistemas,,6,3.7,13
9780077103934,Practical Object-oriented Design with UML,Mark Priestley,McGraw Hill Higher Education,"July 4, 2007",338,Análise e Projeto de Sistemas,https://covers.openlibrary.org/b/id/66554-L.jpg,6,3.9,44
9783031366246,Advances in Swarm Intelligence,Ying Tan,Springer,2023,0,Análise e Técnicas de Algoritmos,,9,3.9,11
9783319996387,Computer Algebra in Scientific Computing,Vladimir P. Gerdt,Springer International Publishing AG,2018,0,Análise e Técnicas de Algoritmos,,6,4.7,73
9783319270555,Nonlinear Approaches in Engineering Applications,Liming Dai,"Springer London, Limited",2016,0,Análise e Técnicas de Algoritmos,,8,4.7,53
9783319091297,Computational Science and Its Applications - ICCSA 2014,"Beniamino Murgante, Sanjay Misra, Ana Maria Alves Coutinho Rocha, Carmelo Torre, Jorge Gustavo Rocha, Maria Irene Falcão, David Taniar, Bernady O. Apduhan, Osvaldo Gervasi","Springer London, Limited",2014,0,Análise e Técnicas de Algoritmos,,5,3.6,70
9780201524895,Introduction to Algorithms,Udi Manber,"Addison-Wesley Longman, Limited",1995,0,Análise e Técnicas de Algoritmos,,5,4.3,35
9783319149233,Computer Games,"Tristan Cazenave, Mark H.M. Winands, Hiroyuki Iida","Springer London, Limited",2014,0,Análise e Técnicas de Algoritmos,,8,4.1,70
9783642409882,Machine Learning and Knowledge Discovery in Databases,"Hendrik Blockeel, Kristian Kersting, Siegfried Nijssen, Filip Železný",Springer,2013,0,Análise e Técnicas de Algoritmos,,2,3.7,99
9783642153693,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques","Prasad Raghavendra, Sofya Raskhodnikova, Klaus Jansen, José D.P. Rolim","Springer London, Limited",2010,0,Análise e Técnicas de Algoritmos,,1,3.9,22
9783031382987,Geometric Science of Information,"Frank Nielsen, Frédéric Barbaresco",Springer,2023,0,Análise e Técnicas de Algoritmos,,9,3.7,47
9783031236112,Combinatorial Image Analysis,"Reneta P. Barneva, Valentin E. Brimkov, Jake K. Aggarwal",Springer International Publishing AG,2023,0,Análise e Técnicas de Algoritmos,,4,4.6,52
9783319035369,Algorithms and Models for the Web Graph,Anthony Bonato,"Springer London, Limited",2013,0,Análise e Técnicas de Algoritmos,,2,3.9,89
9780824720025,Encyclopedia of Library and Information Science (Encyclopedia of Library & Information Science),"Allen Kent, Harold Lancour, William Z. Nasri, Jay Elwood Daily",CRC,"May 1, 1969",720,Arquivologia e Biblioteconomia,https://covers.openlibrary.org/b/id/4732567-L.jpg,3,5.0,37
9789811954849,"Emerging Research in Computing, Information, Communication and Applications","N. R. Shetty, N.H. Prasad, N. Nalini",Springer,2023,0,Arquivologia e Biblioteconomia,,5,4.7,45
9798721687686,Avis Pour Dresser une Bibliothèque,"Gabriel Naudé, Archer Taylor",Independently Published,2021,0,Arquivologia e Biblioteconomia,,8,4.0,43
9781511722230,Library Primer,John Cotton Dana,CreateSpace Independent Publishing Platform,2015,202,Arquivologia e Biblioteconomia,,5,4.2,61
9781573874397,Library and book trade almanac,"R. R. Bowker, Dave Bogart, Information Today, Margaret Spier, Julia C. Blixrud, Council of National Library and Information Associations (U.S.), Catherine Barr, Rebecca L. Thomas, Betty J. Turock","Information Today, Inc.",2012,851,Arquivologia e Biblioteconomia,https://covers.openlibrary.org/b/id/11016563-L.jpg,9,4.9,63
9780543960238,The Vicar of Morwenstow,Sabine Baring-Gould,Adamant Media Corporation,"February 7, 2002",228,Arquivologia e Biblioteconomia,https://covers.openlibrary.org/b/id/1278198-L.jpg,2,3.5,75
9781783304776,Foundations of Library and Information Science Fifth Edition,"Richard Rubin, Rachel G. Rubin, Camila Alire, RACHEL G. RUBIN",Facet Publishing,2020,0,Arquivologia e Biblioteconomia,,3,3.7,77
9781272226954,"Connaissance Nécessaires À Un Bibliophile, Volume 1... (French Edition)","Rouveyre, Édouard",Nabu Press,2011-11-27,0,Arquivologia e Biblioteconomia,,6,4.9,57
9780824720049,Encyclopedia of Library and Information Science (Encyclopedia of Library & Information Science),"Allen Kent, Harold Lancour, William Z. Nasri, Jay Elwood Daily",CRC,"November 1, 1970",692,Arquivologia e Biblioteconomia,https://covers.openlibrary.org/b/id/1564086-L.jpg,8,4.9,76
9783598243172,Edition 1.,Thomson Gale,K. G. Saur,December 1993,0,Arquivologia e Biblioteconomia,,9,4.7,76
9780838947449,Foundations of Library and Information Science,"Richard Rubin, Rachel G. Rubin, Camila Alire, RACHEL G. RUBIN",American Library Association,2020,608,Arquivologia e Biblioteconomia,,3,4.3,20
9781489958419,Advances in Information Systems Science,Julius T. Tou,Springer,2013,0,Arquivologia e Biblioteconomia,,1,3.9,82
9780070336384,Introduction to reference work,William A. Katz,"McGraw-Hill, Mcgraw-Hill College",1992,0,Arquivologia e Biblioteconomia,https://covers.openlibrary.org/b/id/4945197-L.jpg,2,3.9,85
9783598075223,Dictionary of Acronyms and Abbreviations,Eric Pugh,K G Saur Verlag,"December 31, 1987",366,Arquivologia e Biblioteconomia,,6,4.2,28
9780007483020,Information Is Beautiful,David McCandless,HarperCollins Publishers Limited,2013,0,Arquivologia e Biblioteconomia,,6,3.8,47
9781573875363,Library and Book Trade Almanac 2017 (Bowker Annual Library and Book Trade Almanac),"R. R. Bowker, Dave Bogart, Information Today, Margaret Spier, Julia C. Blixrud, Council of National Library and Information Associations (U.S.), Catherine Barr, Rebecca L. Thomas, Betty J. Turock","Information Today Inc, Information Today, Inc","Oct 30, 2017",579,Arquivologia e Biblioteconomia,https://covers.openlibrary.org/b/id/10551965-L.jpg,7,5.0,33
9783598243936,Edition 1.,Thomson Gale,"K. G. Saur, De Gruyter",September 1996,200,Arquivologia e Biblioteconomia,https://covers.openlibrary.org/b/id/13781901-L.jpg,6,4.5,65
9781016382212,"Pottery & Porcelain, a Guide to Collectors; Containing Nearly Two Hundred Illustrations of Specimens",Frederick Litchfield,"Creative Media Partners, LLC",2022,0,Artes Visuais e Design,,9,3.9,2
9781134637416,"Social History of Art, Volume 3","Arnold Hauser, S. Godman, Harris, Jonathan, Jonathan Harris",Taylor & Francis Group,2005,288,Artes Visuais e Design,,5,4.1,74
9780641611162,Art Through the Ages,Helen Gardner,N/A,N/A,0,Artes Visuais e Design,,9,4.6,30
9780133892703,History of Art,"H. W. Janson, H.W Janson, H. W Janson, H. W. Janson, Horst Woldemar JANSON, Anthony F. Janson, H. W. Janson","PRENTICE-HALL, NJ, 1971, Pearson Ptr","Nov 13, 1974",616,Artes Visuais e Design,,7,4.5,23
9780134401997,The story of art,E. H. Gombrich,Prentice-Hall,1995,688,Artes Visuais e Design,https://covers.openlibrary.org/b/id/90491-L.jpg,7,4.1,99
9780130524164,Art,"Frederick Hartt, Rosenthal","Prentice Hall, H.N. Abrams",1993,0,Artes Visuais e Design,,9,4.4,35
9781452944852,Barry le Va,Michael Maizels,University of Minnesota Press,2015,224,Artes Visuais e Design,,4,4.7,58
9780130853646,Art,"Marilyn Stokstad, Margaret A. Oppenheimer","Prentice Hall, Harry N. Abrams",2000,475,Artes Visuais e Design,https://covers.openlibrary.org/b/id/4957840-L.jpg,3,3.6,56
9780072472592,Microsoft FrontPage 2002,Kenneth C. Laudon,McGraw-Hill/Irwin,2002,0,Artes Visuais e Design,https://covers.openlibrary.org/b/id/1083842-L.jpg,5,3.7,67
9780495794486,Gardner's art through the ages,"Fred S. Kleiner, Helen Gardner",Wadsworth Cengage Learning,2010,231,Artes Visuais e Design,,6,3.5,35
9781283177283,Autodesk 3ds Max 2012 Essentials,Dariush Derakhshani,"Wiley & Sons, Incorporated, John",2011,0,Artes Visuais e Design,,4,4.8,96
9780429173257,Blender for Visual Effects,Sam Vila,CRC Press LLC,2015,0,Artes Visuais e Design,,3,4.5,66
9788387994480,Jan Lebenstein,Jan Lebenstein,Muzeum Karykatury im. Eryka Lipińskiego w Warszawie,2013,80,Artes Visuais e Design,,2,4.1,91
9781136129858,Layout and Composition for Animation,Ed Ghertner,CRC Press LLC,2012,0,Artes Visuais e Design,,8,4.7,37
9780198348207,Oxford Primary Art: Key Stage 2,Norman Binch,Oxford University Press,"December 1, 1994",32,Artes Visuais e Design,https://covers.openlibrary.org/b/id/14505755-L.jpg,7,4.6,13
9781282377035,Who's Afraid of Conceptual Art?,Peter Goldie,Routledge,2009,0,Artes Visuais e Design,,2,4.3,42
9783709107201,Bildnerei der Geisteskranken,Hans Prinzhorn,Springer,2011,395,Artes Visuais e Design,https://covers.openlibrary.org/b/id/6997299-L.jpg,9,3.5,5
9781032641782,Female Nude,Lynda Nead,Taylor & Francis Group,2024,212,Artes Visuais e Design,,6,4.5,60
9780585278582,Object to Be Destroyed,Pamela M. Lee,MIT Press,2000,0,Artes Visuais e Design,,5,4.4,35
9780714847511,Wallpaper City Guide,Editors of Wallpaper Magazine,"Phaidon Press Inc., Brand: Phaidon Press, Phaidon Press","March 15, 2008",128,Artes Visuais e Design,https://covers.openlibrary.org/b/id/13910304-L.jpg,3,3.5,28
9780596006808,Oracle PL/SQL Language Pocket Reference,Steven Feuerstein,"O'Reilly Media, Inc., O'Reilly","April 1, 2004",156,Banco de Dados,https://covers.openlibrary.org/b/id/388927-L.jpg,3,3.7,47
9781492090403,SQL Pocket Guide,"Jonathan Gennick, Alice Zhao","O'Reilly Media, Incorporated, O'Reilly Media",2021,336,Banco de Dados,https://covers.openlibrary.org/b/id/13715354-L.jpg,8,3.8,37
9781449391744,Oracle PL/SQL Programming,Steven Feuerstein,"O'Reilly Media, Incorporated",2009,0,Banco de Dados,,3,3.6,4
9780619213237,Database systems,Peter Rob,Thomson/Course Technology,2004,795,Banco de Dados,https://covers.openlibrary.org/b/id/5451413-L.jpg,8,3.9,95
9781449319267,"Learning PHP, MySQL & JavaScript and CSS",Robin Nixon,O'Reilly Media,2012,586,Banco de Dados,https://covers.openlibrary.org/b/id/7647547-L.jpg,1,4.0,27
9783897213883,High Performance MySQL,"Jeremy D. Zawodny, Derek J. Balling, Baron Schwartz, Peter Zaitsev, Baron Schwartz. Peter Zaitsev. Vadim Tkachenko. Jeremy D. Zawodny. Arjen Lentz. Derek J. Balling",O'Reilly Vlg. GmbH & Co.,"Oct 31, 2004",0,Banco de Dados,,1,3.7,94
9780203450345,Theory and Practice of Relational Databases,"Stefan Stanczyk, Stefan Stanczyk, Bob Champion, Richard Leyton",Taylor & Francis Group,1990,0,Banco de Dados,,3,4.8,60
9783897212688,SQL,"Jonathan Gennick, Alice Zhao",O'Reilly Vlg. GmbH & Co.,"Sep 30, 2004",0,Banco de Dados,https://covers.openlibrary.org/b/id/10544621-L.jpg,3,4.1,50
9780596155322,SQL in a nutshell,"Kevin E. Kline, Kevin Kline, Daniel Kline, Brand Hunt, Russell J. T. Dyer, Russell Dyer",O'Reilly Media,2008,592,Banco de Dados,,1,5.0,49
9783540444695,Database and Expert Systems Applications,"Mohamed Ibrahim, Josef Küng","Springer London, Limited",2003,0,Banco de Dados,,4,4.7,21
9782844273765,Sql,"Allen G. Taylor, Reinhard Engel",First Interactive,"December 2, 2002",292,Banco de Dados,https://covers.openlibrary.org/b/id/3141799-L.jpg,6,3.7,72
9780470129005,Data Management,"Richard Thomas Watson, Richard T. Watson, Rick T. Watson","Wiley & Sons, Incorporated, John",2008,0,Banco de Dados,,3,3.8,3
9783540625018,Constraint databases and applications,"International Workshop on Constraint Database and Systems (2nd 1997 Delphi, Greece), V. Vianu, D. Srivastava, O.P. Gunther, M. Wallace",Springer,1996,343,Banco de Dados,https://covers.openlibrary.org/b/id/2227086-L.jpg,6,3.5,72
9780596008857,Oracle SQL*Plus,Jonathan Gennick,O'Reilly,2005,146,Banco de Dados,https://covers.openlibrary.org/b/id/8703052-L.jpg,6,4.4,72
9781306817363,MySQL Pocket Reference,George Reese,"O'Reilly Media, Incorporated",2007,0,Banco de Dados,,2,4.5,18
9782746404137,Sql,"Allen G. Taylor, Reinhard Engel",Osman Eyrolles Multimédia - OEM,"April 18, 2002",427,Banco de Dados,https://covers.openlibrary.org/b/id/3131398-L.jpg,7,4.7,33
9780133149654,Your Office,"Amy S. Kinser, Eric Kinser, Jennifer Paige Nightingale","Pearson Education, Limited",2014,0,Banco de Dados,,2,3.5,94
9780203164563,Theory and Practice of Relational Databases,"Stefan Stanczyk, Stefan Stanczyk, Bob Champion, Richard Leyton",Taylor & Francis Group,2003,0,Banco de Dados,,4,4.6,17
9781583474037,Db2 11,"Campbell, John, Chris Crone, Gareth Jones, Surekha Parekh, Jay Yothers","MC Press Online, LLC",2014,0,Banco de Dados,,2,4.4,95
9783540637547,From databases to hypermedia,"Hermann A. Maurer, Hermann Maurer, Nick Scherbakov, Zahran Halim, Zaidah Razak",Springer,1998,307,Banco de Dados,https://covers.openlibrary.org/b/id/13913420-L.jpg,7,4.6,32
9780123645999,International Review of Cytology,Kwang W. Jeon,Academic Press,November 1999,335,Biologia Celular e Molecular,https://covers.openlibrary.org/b/id/1097753-L.jpg,3,4.7,10
9781119834908,Cell and Molecular Biology,Gerald Karp,"Wiley & Sons, Limited, John, Wiley",2021,944,Biologia Celular e Molecular,https://covers.openlibrary.org/b/id/13486796-L.jpg,5,4.8,23
9781324033431,Essential Cell Biology,"Bruce Alberts, Dennis Bray, Karen Hopkin, Alexander D Johnson, Julian Lewis, Martin Raff, Keith Roberts, Peter Walter","Norton & Company, Incorporated, W. W.",2023,0,Biologia Celular e Molecular,,3,3.5,50
9780393884845,Molecular Biology of the Cell,"Bruce Alberts, Alexander Johnson, Julian Lewis, David O Morgan, Martin Raff, Julian Lewis, Keith Roberts, Peter Walter, Alexander D. Johnson",W. W. Norton & Company,"Jul 01, 2022",1552,Biologia Celular e Molecular,https://covers.openlibrary.org/b/id/14188516-L.jpg,9,5.0,55
9788845911248,Che cos'è la vita? La cellula vivente dal punto di vista fisico,"Erwin Schrödinger, Roger Penrose",Adelphi,"Mar 01, 1995",0,Biologia Celular e Molecular,https://covers.openlibrary.org/b/id/12060992-L.jpg,8,4.7,1
9780128001783,International Review of Cell and Molecular Biology,Kwang W. Jeon,Elsevier Science & Technology,2014,0,Biologia Celular e Molecular,,4,3.8,22
9780080918860,International Review of Cytology,"George Bourne, Kwang W. Jeon",Elsevier Science & Technology Books,2005,0,Biologia Celular e Molecular,,1,3.7,11
9780128000977,International Review of Cell and Molecular Biology,Kwang W. Jeon,Elsevier Science & Technology,2014,0,Biologia Celular e Molecular,,8,3.7,45
9780080863313,Progress in Nucleic Acid Research and Molecular Biology,"Waldo E. Cohn, Kivie Moldave",Elsevier Science & Technology Books,1992,0,Biologia Celular e Molecular,,3,4.3,81
9780125641104,Methods in Cell Biology,David M. Prescott,Academic Pr,June 1975,478,Biologia Celular e Molecular,https://covers.openlibrary.org/b/id/4965211-L.jpg,6,4.0,20
9780470483374,Cell and molecular biology,Gerald Karp,John Wiley,2010,832,Biologia Celular e Molecular,https://covers.openlibrary.org/b/id/8627146-L.jpg,3,4.1,57
9781324033448,Essential Cell Biology,"Bruce Alberts, Dennis Bray, Karen Hopkin, Alexander D Johnson, Julian Lewis, Martin Raff, Keith Roberts, Peter Walter","Norton & Company, Incorporated, W. W.",2023,0,Biologia Celular e Molecular,,6,3.6,65
9780444535856,Advances in Molecular Toxicology,James C. Fishbein,Elsevier,2010,0,Biologia Celular e Molecular,,7,3.6,54
9780716724780,Mac Testbank General Analysis,"Anthony J. F. Griffiths, William M. Gelbart, Jeffrey H. Miller, Richard C. Lewontin","Freeman & Company, W. H.",1995,0,Biologia Celular e Molecular,,3,4.9,77
9781138596900,Handbook of Biochemistry,Gerald D. Fasman,Taylor & Francis Group,2018,0,Biologia Celular e Molecular,https://covers.openlibrary.org/b/id/13239235-L.jpg,1,4.2,8
9780815340690,"Molecular Biology of the Cell, ISE","Bruce Alberts, Alexander Johnson, Julian Lewis, David O Morgan, Martin Raff, Julian Lewis, Keith Roberts, Peter Walter, Alexander D. Johnson",Garland Science,"March 1, 2002",1616,Biologia Celular e Molecular,,7,4.6,27
9780323989718,Advances in Applied Microbiology,"Allen I. Laskin, Geoffrey Michael Gadd, Sima Sariaslani",Elsevier Science & Technology,2022,0,Biologia Celular e Molecular,,2,4.7,29
9781282682184,Advances in Enzymology and Related Areas of Molecular Biology,Alton Meister,"Wiley & Sons, Incorporated, John",2009,0,Biologia Celular e Molecular,,7,4.2,50
9780716727118,Molecular Cell Biology 3.0 Cd-Rom,"Harvey Lodish, Arnold Berk, Chris A. Kaiser, Monty Krieger, Anthony Bretscher, Paul Matsudaira, Matthew P. Scott, Lawrence Zipursky, James Darnell, Michael M. Cox, Jennifer A. Doudna, Michael O'Donnell, David Baltimore, S. Lawrence Zipursky",W.H. Freeman & Company,February 1996,0,Biologia Celular e Molecular,https://covers.openlibrary.org/b/id/4674147-L.jpg,2,4.9,30
9780429945533,Handbook of Biochemistry,Gerald D. Fasman,Taylor & Francis Group,2019,586,Bioquímica,,1,4.9,91
9780080915562,Advances in Cancer Research,"Conn, George Klein, George F. Vande Woude",Elsevier Science & Technology Books,2003,0,Bioquímica,,3,4.0,30
9780080915586,Advances in Carbohydrate Chemistry and Biochemistry,"R. Stuart Tipson, Derek Horton",Elsevier Science & Technology Books,2000,0,Bioquímica,,6,4.2,4
9780470110331,Methods of Biochemical Analysis,David Glick,"Wiley & Sons, Incorporated, John",2006,0,Bioquímica,,5,4.2,89
9780470101384,Introduction to Organic Chemistry,"William Henry Brown, Thomas Poon",John Wiley & Sons Inc,"September 6, 2007",0,Bioquímica,,9,4.7,10
9780538736213,Nutrition,"Frances Sizer Webb, Frances Sizer, Eleanor Noss Whitney, Frances Sienkiewicz Sizer",Brooks/Cole,2010-01-01,0,Bioquímica,,8,4.7,63
9780470110256,Methods of biochemical analysis,David Glick,"Interscience Publishers, Inc.",1962,0,Bioquímica,https://covers.openlibrary.org/b/id/10816122-L.jpg,3,3.8,42
9780470185407,Organic Chemistry,T. W. Graham Solomons,John Wiley & Sons Inc,"July 25, 2007",0,Bioquímica,,3,4.0,45
9780443343742,Advances in Clinical Chemistry,Gregory S. Makowski,Elsevier Science & Technology Books,2025,232,Bioquímica,,5,4.9,13
